{'Ensemble': 1.7747419108174411, 'Selective Ensemble': 1.7577382867552385, 'Self-(in)consistency': 1.4919234069838858, 'Binomial NLL': 0.6003036402660985, 'dataset': 'COMPAS'}
{'Ensemble': 1.753566464748195, 'Selective Ensemble': 1.7464574060400955, 'Self-(in)consistency': 1.5542450813213418, 'Binomial NLL': 0.596530785910918, 'dataset': 'COMPAS'}
{'Ensemble': 1.7855696314914684, 'Selective Ensemble': 1.7381969690372698, 'Self-(in)consistency': 1.5089227727149976, 'Binomial NLL': 0.595176504146024, 'dataset': 'COMPAS'}
{'Ensemble': 1.891819173705423, 'Selective Ensemble': 1.9790812435703828, 'Self-(in)consistency': 1.6723470864071457, 'Binomial NLL': 0.6137511583657956, 'dataset': 'COMPAS'}
{'Ensemble': 1.8975685085057707, 'Selective Ensemble': 1.8905523105867443, 'Self-(in)consistency': 1.555381152318935, 'Binomial NLL': 0.6119770308355748, 'dataset': 'COMPAS'}
{'Ensemble': 1.7061386552659683, 'Selective Ensemble': 1.6568173320959383, 'Self-(in)consistency': 1.4537834112374435, 'Binomial NLL': 0.5868592735536916, 'dataset': 'COMPAS'}
{'Ensemble': 1.681497322497048, 'Selective Ensemble': 1.6728561392471097, 'Self-(in)consistency': 1.3845790708649603, 'Binomial NLL': 0.5837116228051278, 'dataset': 'COMPAS'}
{'Ensemble': 0.8046854132151929, 'Selective Ensemble': 0.9542604639213806, 'Self-(in)consistency': 0.6602179505270152, 'Binomial NLL': 0.42200680465437473, 'dataset': 'German'}
{'Ensemble': 0.9341156859864713, 'Selective Ensemble': 0.9158124825561093, 'Self-(in)consistency': 0.8027743097460212, 'Binomial NLL': 0.5112867065146566, 'dataset': 'German'}
{'Ensemble': 1.0265696481068154, 'Selective Ensemble': 1.2178944161794931, 'Self-(in)consistency': 0.957215896069227, 'Binomial NLL': 0.5115215266123414, 'dataset': 'German'}
{'Ensemble': 0.9049932108336362, 'Selective Ensemble': 0.9303049253760821, 'Self-(in)consistency': 0.8312791166052871, 'Binomial NLL': 0.5043277907371521, 'dataset': 'German'}
{'Ensemble': 0.7544883575843414, 'Selective Ensemble': 0.8790219265251525, 'Self-(in)consistency': 0.6909373191127531, 'Binomial NLL': 0.45751183121465144, 'dataset': 'German'}
{'Ensemble': 1.0162127664743457, 'Selective Ensemble': 1.1469881149055254, 'Self-(in)consistency': 0.9029926982331841, 'Binomial NLL': 0.4902073496859521, 'dataset': 'German'}
{'Ensemble': 0.9684799683350138, 'Selective Ensemble': 0.9807740218623303, 'Self-(in)consistency': 0.7908625511437977, 'Binomial NLL': 0.4884812012966722, 'dataset': 'German'}
{'Ensemble': 0.8284798018512083, 'Selective Ensemble': 0.821363809507458, 'Self-(in)consistency': 0.6498288096304075, 'Binomial NLL': 0.4838340438622981, 'dataset': 'German'}
{'Ensemble': 0.9941258239024319, 'Selective Ensemble': 1.0517166131709659, 'Self-(in)consistency': 0.8748950523287927, 'Binomial NLL': 0.4928854969237, 'dataset': 'German'}
{'Ensemble': 0.9375722746358952, 'Selective Ensemble': 1.089931742223706, 'Self-(in)consistency': 0.7152827039301929, 'Binomial NLL': 0.46975215975195167, 'dataset': 'German'}
{'Ensemble': 1.0507570233004382, 'Selective Ensemble': 1.0752610742211353, 'Self-(in)consistency': 0.9979365660618778, 'Binomial NLL': 0.3949191687261829, 'dataset': 'ACS'}
{'Ensemble': 1.0971514738684234, 'Selective Ensemble': 1.1150995198928702, 'Self-(in)consistency': 1.042999797068843, 'Binomial NLL': 0.39937041459175254, 'dataset': 'ACS'}
{'Ensemble': 1.0385146863009567, 'Selective Ensemble': 1.0683147786059597, 'Self-(in)consistency': 0.9829705572640599, 'Binomial NLL': 0.3902621192359007, 'dataset': 'ACS'}
{'Ensemble': 1.0384453137428142, 'Selective Ensemble': 1.0534307854415892, 'Self-(in)consistency': 0.998202069173479, 'Binomial NLL': 0.38975675483621086, 'dataset': 'ACS'}
{'Ensemble': 1.1284757590443613, 'Selective Ensemble': 1.1572997505982003, 'Self-(in)consistency': 1.0755623930201836, 'Binomial NLL': 0.4048579142821523, 'dataset': 'ACS'}
{'Ensemble': 1.0794812272228658, 'Selective Ensemble': 1.0672344724146734, 'Self-(in)consistency': 0.9944731470239325, 'Binomial NLL': 0.39770685364076724, 'dataset': 'ACS'}
